team,att,defn,mid,ovr
MCI,86,82,88,85
TOT,86,83,82,83
LIV,86,82,82,83
CHE,85,82,83,83
MUN,83,80,83,82
ARS,82,80,83,82
EVE,77,79,80,79
WHU,78,77,78,78
LEI,78,79,76,78
CRY,79,76,77,77
BOU,79,77,76,77
WAT,78,77,78,77
BUR,77,77,75,77
NEW,76,76,77,77
WOL,75,76,80,77
BHA,76,76,77,76
SOU,73,74,77,76
FUL,78,73,76,75
HUD,72,75,73,74
WBA,74,74,72,73
CAR,73,72,73,73
LEE,73,73,72,73
NOR,76,71,72,72
AVL,73,70,73,72
NOT,73,71,71,72
STK,72,71,73,72
SHU,72,72,72,72
MID,70,72,72,72
SWA,73,71,70,71
DER,72,71,71,71
SUN,70,67,68,68
HUL,70,68,70,69
