,team_name,att,mid,defn,ovr
0,Manchester City,86,87,83,86
1,Liverpool,86,83,84,84
2,Spurs,86,82,83,83
3,Arsenal,86,82,79,81
4,Manchester Utd,83,79,80,81
5,Chelsea,79,82,80,81
6,Everton,77,79,80,79
7,West Ham,83,79,76,78
8,Leicester City,78,78,78,78
9,Watford,78,78,76,78
10,Wolves,77,81,77,78
11,Newcastle Utd,78,74,76,77
12,Crystal Palace,75,78,76,77
13,AFC Bournemouth,75,77,75,77
14,Burnley,77,76,76,76
15,Brighton,77,76,75,76
16,Southampton,75,76,76,76
17,Aston Villa,76,75,74,75
18,Norwich,76,73,73,74
19,Fulham,75,74,70,73
20,Sheffield Utd,73,73,73,73
21,Nott'm Forest,73,72,71,72
22,West Brom,72,73,71,72
23,Leeds United,72,72,72,72
24,Cardiff City,72,71,72,72
25,Stoke City,68,72,70,72
26,Huddersfield,71,70,70,71
28,Swansea City,75,71,70,71
29,Brentford,72,71,71,71
30,Bristol City,71,71,69,71
31,Sheffield Wed,71,71,69,71
32,Birmingham City,71,71,71,70
33,Preston,69,72,70,70
34,Reading,69,71,70,70
35,Derby County,69,71,70,70
36,Blackburn Rovers,69,71,70,70
37,Middlesbrough,69,70,69,70
44,QPR,71,69,70,69
45,Millwall,69,67,69,69
46,Hull City,68,71,68,69
47,Wigan Athletic,68,69,69,69
48,Charlton Ath,67,69,68,69
54,Luton Town,68,68,67,68
55,Sunderland,68,68,66,68
58,Barnsley,68,67,66,67
59,Ipswich,67,67,65,67
60,Oxford United,66,67,67,67
64,Portsmouth,68,66,66,66
65,Peterborough,67,66,64,66
66,Bolton,67,65,65,66
67,Lincoln City,66,66,66,66
68,Rotherham Utd,66,64,66,66
74,Shrewsbury,66,65,63,65
75,Wycombe,65,66,64,65
76,Southend United,65,65,65,65
77,Fleetwood Town,65,65,64,65
82,MK Dons,65,63,65,64
83,Blackpool,65,63,64,64
84,Coventry City,64,64,65,64
85,Burton Albion,64,64,63,64
90,Rochdale,64,64,63,64
91,Doncaster,63,66,64,64
92,Bristol Rovers,64,64,63,63
93,AFC Wimbledon,64,62,61,63
94,Accrington,62,65,62,63
95,Gillingham,62,64,62,63
96,Tranmere Rovers,62,63,63,63
97,Bury,59,59,58,59
